tab 	samples
azimuth	citations	criteria	description	dip	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_specimens	lat	lithologies	lon	method_codes	orientation_quality	result_quality	result_type	sample	site	specimens
310.6	This study			-87.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr01a	sr01	
	This study	DE-SPEC	sample direction.		331.0	64.4	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	i	sr01a	sr01	sr01a1
	This study	DE-SPEC	sample direction.		325.9	62.1	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	i	sr01a	sr01	sr01a2
	This study	IE-SPEC	sample intensity.												3.9399999999999995e-05	0.0	0.0	1.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:LP-PI-TRM		g	i	sr01a	sr01	sr01a2
311.9	This study			-15.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr01b	sr01	
300.7	This study			-82.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr01c	sr01	
	This study	DE-SPEC	sample direction.		345.0	64.3	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	i	sr01c	sr01	sr01c2
340.2	This study			-76.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr01d	sr01	
	This study	DE-SPEC	sample direction.		326.9	65.2	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-T		g	i	sr01d	sr01	sr01d1
	This study	IE-SPEC	sample intensity.												3.73e-05	0.0	0.0	1.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM		g	i	sr01d	sr01	sr01d1
26.3	This study			-75.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr01e	sr01	
	This study	DE-SPEC	sample direction.		333.0	67.1	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF		g	i	sr01e	sr01	sr01e2
23.7	This study			-80.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr01f	sr01	
	This study	DE-SPEC	sample direction.		325.9	66.1	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	i	sr01f	sr01	sr01f2
322.7	This study			-75.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr01g	sr01	
	This study	DE-SPEC	sample direction.		324.4	66.7	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF		g	i	sr01g	sr01	sr01g2
334.6	This study			-78.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr01h	sr01	
6.8	This study			-56.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr01i	sr01	
	This study	DE-SPEC	sample direction.		328.5	62.5	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	i	sr01i	sr01	sr01i1
55.3	This study			-79.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr01j	sr01	
27.3	This study			-51.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr01k	sr01	
8.3	This study			-85.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr02a	sr02	
2.2	This study			-91.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr02b	sr02	
359.8	This study			-88.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr02c	sr02	
18.5	This study			-87.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr02d	sr02	
2.4	This study			-83.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr02e	sr02	
12.1	This study			-55.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr02f	sr02	
348.1	This study			-84.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr02g	sr02	
28.4	This study			-88.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr02h	sr02	
26.7	This study			-89.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr02i	sr02	
310.5	This study			-92.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr02j	sr02	
336.5	This study			-80.0									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g	g	i	sr02k	sr02	
8.3	This study			-85.0									Igneous:Extrusive	Lava Flow					42.60352	Basalt	245.59900000000002	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr03a	sr03	
	This study	DE-SPEC	sample direction.		146.5	-54.2	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-T		g	i	sr03a	sr03	sr03a1
2.2	This study			-91.0									Igneous:Extrusive	Lava Flow					42.60352	Basalt	245.59900000000002	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr03b	sr03	
359.8	This study			-88.0									Igneous:Extrusive	Lava Flow					42.60352	Basalt	245.59900000000002	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr03c	sr03	
	This study	DE-SPEC	sample direction.		159.8	-60.3	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-T		g	i	sr03c	sr03	sr03c1
18.5	This study			-87.0									Igneous:Extrusive	Lava Flow					42.60352	Basalt	245.59900000000002	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr03d	sr03	
2.4	This study			-83.0									Igneous:Extrusive	Lava Flow					42.60352	Basalt	245.59900000000002	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr03e	sr03	
	This study	DE-SPEC	sample direction.		150.9	-61.2	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-T		g	i	sr03e	sr03	sr03e1
12.1	This study			-55.0									Igneous:Extrusive	Lava Flow					42.60352	Basalt	245.59900000000002	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr03f	sr03	
